file1	token1	file2	token2
homemade_pizza_dough_7	6	homemade_pizza_dough_2	6
homemade_pizza_dough_7	16	homemade_pizza_dough_2	14
homemade_pizza_dough_7	28	homemade_pizza_dough_2	24
homemade_pizza_dough_7	34	homemade_pizza_dough_2	0
homemade_pizza_dough_7	44	homemade_pizza_dough_2	6
homemade_pizza_dough_7	49	homemade_pizza_dough_2	24
homemade_pizza_dough_7	56	homemade_pizza_dough_2	6
homemade_pizza_dough_7	64	homemade_pizza_dough_2	0
homemade_pizza_dough_7	67	homemade_pizza_dough_2	0
homemade_pizza_dough_7	74	homemade_pizza_dough_2	39
homemade_pizza_dough_7	79	homemade_pizza_dough_2	0
homemade_pizza_dough_7	82	homemade_pizza_dough_2	61
homemade_pizza_dough_7	87	homemade_pizza_dough_2	43
homemade_pizza_dough_7	92	homemade_pizza_dough_2	43
homemade_pizza_dough_7	97	homemade_pizza_dough_2	49
homemade_pizza_dough_7	100	homemade_pizza_dough_2	53
homemade_pizza_dough_7	113	homemade_pizza_dough_2	117
homemade_pizza_dough_7	121	homemade_pizza_dough_2	108
homemade_pizza_dough_7	127	homemade_pizza_dough_2	12
homemade_pizza_dough_7	129	homemade_pizza_dough_2	86
homemade_pizza_dough_7	136	homemade_pizza_dough_2	49
homemade_pizza_dough_7	141	homemade_pizza_dough_2	137
homemade_pizza_dough_7	149	homemade_pizza_dough_2	0
homemade_pizza_dough_7	155	homemade_pizza_dough_2	0
homemade_pizza_dough_7	173	homemade_pizza_dough_2	0
homemade_pizza_dough_7	183	homemade_pizza_dough_2	83
homemade_pizza_dough_7	184	homemade_pizza_dough_2	86
homemade_pizza_dough_7	186	homemade_pizza_dough_2	131
homemade_pizza_dough_3	8	homemade_pizza_dough_7	34
homemade_pizza_dough_3	13	homemade_pizza_dough_7	6
homemade_pizza_dough_3	23	homemade_pizza_dough_7	6
homemade_pizza_dough_3	26	homemade_pizza_dough_7	16
homemade_pizza_dough_3	27	homemade_pizza_dough_7	16
homemade_pizza_dough_3	35	homemade_pizza_dough_7	0
homemade_pizza_dough_3	40	homemade_pizza_dough_7	6
homemade_pizza_dough_3	50	homemade_pizza_dough_7	44
homemade_pizza_dough_3	89	homemade_pizza_dough_7	100
homemade_pizza_dough_3	109	homemade_pizza_dough_7	67
homemade_pizza_dough_3	116	homemade_pizza_dough_7	82
homemade_pizza_dough_3	123	homemade_pizza_dough_7	92
homemade_pizza_dough_3	131	homemade_pizza_dough_7	92
homemade_pizza_dough_3	143	homemade_pizza_dough_7	121
homemade_pizza_dough_3	148	homemade_pizza_dough_7	127
homemade_pizza_dough_3	152	homemade_pizza_dough_7	129
homemade_pizza_dough_3	175	homemade_pizza_dough_7	121
homemade_pizza_dough_3	183	homemade_pizza_dough_7	129
homemade_pizza_dough_3	186	homemade_pizza_dough_7	141
homemade_pizza_dough_3	192	homemade_pizza_dough_7	136
homemade_pizza_dough_3	195	homemade_pizza_dough_7	113
homemade_pizza_dough_3	202	homemade_pizza_dough_7	127
homemade_pizza_dough_3	208	homemade_pizza_dough_7	141
homemade_pizza_dough_3	211	homemade_pizza_dough_7	141
homemade_pizza_dough_3	217	homemade_pizza_dough_7	155
homemade_pizza_dough_3	222	homemade_pizza_dough_7	0
homemade_pizza_dough_3	248	homemade_pizza_dough_7	0
homemade_pizza_dough_3	258	homemade_pizza_dough_7	0
homemade_pizza_dough_9	1	homemade_pizza_dough_1	22
homemade_pizza_dough_9	10	homemade_pizza_dough_1	0
homemade_pizza_dough_9	17	homemade_pizza_dough_1	85
homemade_pizza_dough_9	22	homemade_pizza_dough_1	0
homemade_pizza_dough_9	35	homemade_pizza_dough_1	22
homemade_pizza_dough_9	39	homemade_pizza_dough_1	22
homemade_pizza_dough_9	43	homemade_pizza_dough_1	0
homemade_pizza_dough_9	52	homemade_pizza_dough_1	40
homemade_pizza_dough_9	55	homemade_pizza_dough_1	0
homemade_pizza_dough_9	59	homemade_pizza_dough_1	0
homemade_pizza_dough_9	63	homemade_pizza_dough_1	48
homemade_pizza_dough_9	88	homemade_pizza_dough_1	37
homemade_pizza_dough_9	95	homemade_pizza_dough_1	40
homemade_pizza_dough_9	98	homemade_pizza_dough_1	67
homemade_pizza_dough_9	110	homemade_pizza_dough_1	85
homemade_pizza_dough_9	113	homemade_pizza_dough_1	85
homemade_pizza_dough_9	131	homemade_pizza_dough_1	48
homemade_pizza_dough_9	135	homemade_pizza_dough_1	0
homemade_pizza_dough_9	141	homemade_pizza_dough_1	0
homemade_pizza_dough_9	143	homemade_pizza_dough_1	85
homemade_pizza_dough_9	151	homemade_pizza_dough_1	52
homemade_pizza_dough_9	161	homemade_pizza_dough_1	0
homemade_pizza_dough_9	164	homemade_pizza_dough_1	0
homemade_pizza_dough_9	166	homemade_pizza_dough_1	85
homemade_pizza_dough_9	177	homemade_pizza_dough_1	52
homemade_pizza_dough_9	182	homemade_pizza_dough_1	0
homemade_pizza_dough_2	6	homemade_pizza_dough_9	1
homemade_pizza_dough_2	12	homemade_pizza_dough_9	17
homemade_pizza_dough_2	14	homemade_pizza_dough_9	17
homemade_pizza_dough_2	24	homemade_pizza_dough_9	27
homemade_pizza_dough_2	36	homemade_pizza_dough_9	39
homemade_pizza_dough_2	39	homemade_pizza_dough_9	43
homemade_pizza_dough_2	43	homemade_pizza_dough_9	52
homemade_pizza_dough_2	45	homemade_pizza_dough_9	55
homemade_pizza_dough_2	49	homemade_pizza_dough_9	59
homemade_pizza_dough_2	53	homemade_pizza_dough_9	63
homemade_pizza_dough_2	61	homemade_pizza_dough_9	95
homemade_pizza_dough_2	66	homemade_pizza_dough_9	88
homemade_pizza_dough_2	72	homemade_pizza_dough_9	95
homemade_pizza_dough_2	77	homemade_pizza_dough_9	98
homemade_pizza_dough_2	83	homemade_pizza_dough_9	110
homemade_pizza_dough_2	86	homemade_pizza_dough_9	113
homemade_pizza_dough_2	98	homemade_pizza_dough_9	0
homemade_pizza_dough_2	103	homemade_pizza_dough_9	131
homemade_pizza_dough_2	108	homemade_pizza_dough_9	17
homemade_pizza_dough_2	113	homemade_pizza_dough_9	161
homemade_pizza_dough_2	117	homemade_pizza_dough_9	135
homemade_pizza_dough_2	120	homemade_pizza_dough_9	0
homemade_pizza_dough_2	131	homemade_pizza_dough_9	177
homemade_pizza_dough_2	143	homemade_pizza_dough_9	0
homemade_pizza_dough_2	149	homemade_pizza_dough_9	0
homemade_pizza_dough_6	1	homemade_pizza_dough_10	9
homemade_pizza_dough_6	17	homemade_pizza_dough_10	36
homemade_pizza_dough_6	22	homemade_pizza_dough_10	36
homemade_pizza_dough_6	28	homemade_pizza_dough_10	0
homemade_pizza_dough_6	34	homemade_pizza_dough_10	0
homemade_pizza_dough_6	36	homemade_pizza_dough_10	23
homemade_pizza_dough_6	45	homemade_pizza_dough_10	0
homemade_pizza_dough_6	55	homemade_pizza_dough_10	0
homemade_pizza_dough_6	61	homemade_pizza_dough_10	0
homemade_pizza_dough_5	1	homemade_pizza_dough_6	0
homemade_pizza_dough_5	9	homemade_pizza_dough_6	1
homemade_pizza_dough_5	13	homemade_pizza_dough_6	1
homemade_pizza_dough_5	18	homemade_pizza_dough_6	1
homemade_pizza_dough_5	22	homemade_pizza_dough_6	1
homemade_pizza_dough_5	24	homemade_pizza_dough_6	0
homemade_pizza_dough_5	48	homemade_pizza_dough_6	45
homemade_pizza_dough_5	54	homemade_pizza_dough_6	45
homemade_pizza_dough_5	56	homemade_pizza_dough_6	0
homemade_pizza_dough_5	60	homemade_pizza_dough_6	0
homemade_pizza_dough_5	64	homemade_pizza_dough_6	28
homemade_pizza_dough_5	67	homemade_pizza_dough_6	36
homemade_pizza_dough_1	16	homemade_pizza_dough_0	0
homemade_pizza_dough_1	22	homemade_pizza_dough_0	13
homemade_pizza_dough_1	24	homemade_pizza_dough_0	5
homemade_pizza_dough_1	30	homemade_pizza_dough_0	13
homemade_pizza_dough_1	33	homemade_pizza_dough_0	0
homemade_pizza_dough_1	37	homemade_pizza_dough_0	0
homemade_pizza_dough_1	40	homemade_pizza_dough_0	0
homemade_pizza_dough_1	46	homemade_pizza_dough_0	0
homemade_pizza_dough_1	48	homemade_pizza_dough_0	24
homemade_pizza_dough_1	52	homemade_pizza_dough_0	0
homemade_pizza_dough_1	56	homemade_pizza_dough_0	0
homemade_pizza_dough_1	62	homemade_pizza_dough_0	0
homemade_pizza_dough_1	67	homemade_pizza_dough_0	54
homemade_pizza_dough_1	73	homemade_pizza_dough_0	0
homemade_pizza_dough_1	84	homemade_pizza_dough_0	61
homemade_pizza_dough_1	85	homemade_pizza_dough_0	88
homemade_pizza_dough_1	92	homemade_pizza_dough_0	118
homemade_pizza_dough_8	1	homemade_pizza_dough_5	0
homemade_pizza_dough_8	4	homemade_pizza_dough_5	18
homemade_pizza_dough_8	24	homemade_pizza_dough_5	22
homemade_pizza_dough_8	37	homemade_pizza_dough_5	1
homemade_pizza_dough_8	40	homemade_pizza_dough_5	9
homemade_pizza_dough_8	48	homemade_pizza_dough_5	48
homemade_pizza_dough_8	53	homemade_pizza_dough_5	56
homemade_pizza_dough_8	56	homemade_pizza_dough_5	56
homemade_pizza_dough_8	58	homemade_pizza_dough_5	0
homemade_pizza_dough_8	61	homemade_pizza_dough_5	48
homemade_pizza_dough_8	63	homemade_pizza_dough_5	54
homemade_pizza_dough_8	66	homemade_pizza_dough_5	0
homemade_pizza_dough_8	68	homemade_pizza_dough_5	0
