file1	token1	file2	token2
cauliflower_mash_5	7	cauliflower_mash_6	2
cauliflower_mash_5	12	cauliflower_mash_6	9
cauliflower_mash_5	18	cauliflower_mash_6	9
cauliflower_mash_5	25	cauliflower_mash_6	1
cauliflower_mash_5	29	cauliflower_mash_6	0
cauliflower_mash_5	31	cauliflower_mash_6	0
cauliflower_mash_5	37	cauliflower_mash_6	9
cauliflower_mash_5	50	cauliflower_mash_6	20
cauliflower_mash_5	52	cauliflower_mash_6	22
cauliflower_mash_3	1	cauliflower_mash_10	0
cauliflower_mash_3	8	cauliflower_mash_10	0
cauliflower_mash_3	21	cauliflower_mash_10	0
cauliflower_mash_3	23	cauliflower_mash_10	0
cauliflower_mash_3	44	cauliflower_mash_10	0
cauliflower_mash_3	50	cauliflower_mash_10	0
cauliflower_mash_3	57	cauliflower_mash_10	0
cauliflower_mash_3	62	cauliflower_mash_10	1
cauliflower_mash_3	71	cauliflower_mash_10	0
cauliflower_mash_3	91	cauliflower_mash_10	41
cauliflower_mash_3	102	cauliflower_mash_10	41
cauliflower_mash_3	108	cauliflower_mash_10	48
cauliflower_mash_3	122	cauliflower_mash_10	48
cauliflower_mash_3	133	cauliflower_mash_10	48
cauliflower_mash_3	142	cauliflower_mash_10	41
cauliflower_mash_3	151	cauliflower_mash_10	48
cauliflower_mash_3	153	cauliflower_mash_10	0
cauliflower_mash_3	155	cauliflower_mash_10	0
cauliflower_mash_3	157	cauliflower_mash_10	58
cauliflower_mash_3	163	cauliflower_mash_10	0
cauliflower_mash_1	1	cauliflower_mash_3	8
cauliflower_mash_1	9	cauliflower_mash_3	21
cauliflower_mash_1	12	cauliflower_mash_3	0
cauliflower_mash_1	22	cauliflower_mash_3	37
cauliflower_mash_1	40	cauliflower_mash_3	44
cauliflower_mash_1	42	cauliflower_mash_3	50
cauliflower_mash_1	47	cauliflower_mash_3	0
cauliflower_mash_1	49	cauliflower_mash_3	50
cauliflower_mash_1	52	cauliflower_mash_3	0
cauliflower_mash_1	54	cauliflower_mash_3	0
cauliflower_mash_1	57	cauliflower_mash_3	0
cauliflower_mash_1	71	cauliflower_mash_3	108
cauliflower_mash_1	80	cauliflower_mash_3	0
cauliflower_mash_1	85	cauliflower_mash_3	57
cauliflower_mash_1	88	cauliflower_mash_3	133
cauliflower_mash_1	93	cauliflower_mash_3	57
cauliflower_mash_1	99	cauliflower_mash_3	0
cauliflower_mash_1	119	cauliflower_mash_3	57
cauliflower_mash_1	129	cauliflower_mash_3	153
cauliflower_mash_1	132	cauliflower_mash_3	157
cauliflower_mash_1	134	cauliflower_mash_3	0
cauliflower_mash_9	1	cauliflower_mash_8	1
cauliflower_mash_9	13	cauliflower_mash_8	0
cauliflower_mash_9	16	cauliflower_mash_8	11
cauliflower_mash_9	21	cauliflower_mash_8	16
cauliflower_mash_9	30	cauliflower_mash_8	0
