file1	token1	file2	token2
orange_chicken_0	10	orange_chicken_9	27
orange_chicken_0	28	orange_chicken_9	0
orange_chicken_0	30	orange_chicken_9	21
orange_chicken_0	41	orange_chicken_9	82
orange_chicken_0	58	orange_chicken_9	0
orange_chicken_0	73	orange_chicken_9	139
orange_chicken_0	75	orange_chicken_9	69
orange_chicken_0	77	orange_chicken_9	129
orange_chicken_0	79	orange_chicken_9	0
orange_chicken_0	81	orange_chicken_9	0
orange_chicken_0	89	orange_chicken_9	139
orange_chicken_0	115	orange_chicken_9	139
orange_chicken_0	118	orange_chicken_9	0
orange_chicken_0	125	orange_chicken_9	0
orange_chicken_0	130	orange_chicken_9	76
orange_chicken_0	137	orange_chicken_9	139
orange_chicken_0	140	orange_chicken_9	69
orange_chicken_0	156	orange_chicken_9	0
orange_chicken_0	160	orange_chicken_9	0
orange_chicken_0	166	orange_chicken_9	49
orange_chicken_0	175	orange_chicken_9	139
orange_chicken_0	183	orange_chicken_9	0
orange_chicken_0	186	orange_chicken_9	0
orange_chicken_0	191	orange_chicken_9	64
orange_chicken_0	200	orange_chicken_9	76
orange_chicken_0	209	orange_chicken_9	0
orange_chicken_0	214	orange_chicken_9	1
orange_chicken_0	221	orange_chicken_9	181
orange_chicken_0	228	orange_chicken_9	0
orange_chicken_1	10	orange_chicken_0	10
orange_chicken_1	28	orange_chicken_0	25
orange_chicken_1	35	orange_chicken_0	28
orange_chicken_1	37	orange_chicken_0	30
orange_chicken_1	50	orange_chicken_0	41
orange_chicken_1	67	orange_chicken_0	58
orange_chicken_1	88	orange_chicken_0	73
orange_chicken_1	91	orange_chicken_0	75
orange_chicken_1	93	orange_chicken_0	77
orange_chicken_1	95	orange_chicken_0	79
orange_chicken_1	97	orange_chicken_0	81
orange_chicken_1	105	orange_chicken_0	89
orange_chicken_1	118	orange_chicken_0	102
orange_chicken_1	131	orange_chicken_0	115
orange_chicken_1	134	orange_chicken_0	118
orange_chicken_1	147	orange_chicken_0	130
orange_chicken_1	154	orange_chicken_0	137
orange_chicken_1	158	orange_chicken_0	140
orange_chicken_1	177	orange_chicken_0	156
orange_chicken_1	181	orange_chicken_0	160
orange_chicken_1	189	orange_chicken_0	166
orange_chicken_1	199	orange_chicken_0	0
orange_chicken_1	209	orange_chicken_0	0
orange_chicken_1	213	orange_chicken_0	175
orange_chicken_1	226	orange_chicken_0	183
orange_chicken_1	229	orange_chicken_0	186
orange_chicken_1	233	orange_chicken_0	191
orange_chicken_1	244	orange_chicken_0	200
orange_chicken_1	255	orange_chicken_0	209
orange_chicken_1	259	orange_chicken_0	214
orange_chicken_1	266	orange_chicken_0	221
orange_chicken_1	272	orange_chicken_0	228
orange_chicken_10	1	orange_chicken_8	0
orange_chicken_10	30	orange_chicken_8	0
orange_chicken_10	35	orange_chicken_8	0
orange_chicken_10	44	orange_chicken_8	47
orange_chicken_10	47	orange_chicken_8	0
orange_chicken_10	53	orange_chicken_8	0
orange_chicken_9	1	orange_chicken_5	15
orange_chicken_9	21	orange_chicken_5	0
orange_chicken_9	27	orange_chicken_5	15
orange_chicken_9	36	orange_chicken_5	74
orange_chicken_9	45	orange_chicken_5	0
orange_chicken_9	49	orange_chicken_5	0
orange_chicken_9	56	orange_chicken_5	0
orange_chicken_9	60	orange_chicken_5	0
orange_chicken_9	64	orange_chicken_5	0
orange_chicken_9	69	orange_chicken_5	0
orange_chicken_9	84	orange_chicken_5	0
orange_chicken_9	96	orange_chicken_5	46
orange_chicken_9	110	orange_chicken_5	40
orange_chicken_9	126	orange_chicken_5	95
orange_chicken_9	129	orange_chicken_5	74
orange_chicken_9	134	orange_chicken_5	93
orange_chicken_9	139	orange_chicken_5	15
orange_chicken_9	171	orange_chicken_5	0
orange_chicken_9	181	orange_chicken_5	118
orange_chicken_4	1	orange_chicken_10	0
orange_chicken_4	3	orange_chicken_10	0
orange_chicken_4	11	orange_chicken_10	0
orange_chicken_4	13	orange_chicken_10	0
orange_chicken_4	31	orange_chicken_10	35
orange_chicken_4	44	orange_chicken_10	0
orange_chicken_4	46	orange_chicken_10	47
orange_chicken_4	48	orange_chicken_10	44
