file1	token1	file2	token2
slow_cooker_chicken_tortilla_soup_0	1	slow_cooker_chicken_tortilla_soup_7	1
slow_cooker_chicken_tortilla_soup_0	16	slow_cooker_chicken_tortilla_soup_7	1
slow_cooker_chicken_tortilla_soup_0	18	slow_cooker_chicken_tortilla_soup_7	14
slow_cooker_chicken_tortilla_soup_0	25	slow_cooker_chicken_tortilla_soup_7	0
slow_cooker_chicken_tortilla_soup_0	29	slow_cooker_chicken_tortilla_soup_7	14
slow_cooker_chicken_tortilla_soup_0	35	slow_cooker_chicken_tortilla_soup_7	30
slow_cooker_chicken_tortilla_soup_7	1	slow_cooker_chicken_tortilla_soup_8	1
slow_cooker_chicken_tortilla_soup_7	14	slow_cooker_chicken_tortilla_soup_8	45
slow_cooker_chicken_tortilla_soup_7	30	slow_cooker_chicken_tortilla_soup_8	0
slow_cooker_chicken_tortilla_soup_7	34	slow_cooker_chicken_tortilla_soup_8	1
slow_cooker_chicken_tortilla_soup_7	41	slow_cooker_chicken_tortilla_soup_8	0
slow_cooker_chicken_tortilla_soup_7	44	slow_cooker_chicken_tortilla_soup_8	27
slow_cooker_chicken_tortilla_soup_6	1	slow_cooker_chicken_tortilla_soup_0	16
slow_cooker_chicken_tortilla_soup_6	12	slow_cooker_chicken_tortilla_soup_0	18
slow_cooker_chicken_tortilla_soup_6	37	slow_cooker_chicken_tortilla_soup_0	0
slow_cooker_chicken_tortilla_soup_6	40	slow_cooker_chicken_tortilla_soup_0	25
slow_cooker_chicken_tortilla_soup_6	50	slow_cooker_chicken_tortilla_soup_0	1
slow_cooker_chicken_tortilla_soup_6	59	slow_cooker_chicken_tortilla_soup_0	29
slow_cooker_chicken_tortilla_soup_6	66	slow_cooker_chicken_tortilla_soup_0	35
slow_cooker_chicken_tortilla_soup_6	72	slow_cooker_chicken_tortilla_soup_0	35
slow_cooker_chicken_tortilla_soup_9	1	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	3	slow_cooker_chicken_tortilla_soup_1	1
slow_cooker_chicken_tortilla_soup_9	4	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	23	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	25	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	33	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	37	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	44	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	48	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	63	slow_cooker_chicken_tortilla_soup_1	50
slow_cooker_chicken_tortilla_soup_9	72	slow_cooker_chicken_tortilla_soup_1	67
slow_cooker_chicken_tortilla_soup_9	81	slow_cooker_chicken_tortilla_soup_1	75
slow_cooker_chicken_tortilla_soup_9	84	slow_cooker_chicken_tortilla_soup_1	106
slow_cooker_chicken_tortilla_soup_9	89	slow_cooker_chicken_tortilla_soup_1	106
slow_cooker_chicken_tortilla_soup_9	95	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	100	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	117	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	121	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_9	137	slow_cooker_chicken_tortilla_soup_1	151
slow_cooker_chicken_tortilla_soup_9	140	slow_cooker_chicken_tortilla_soup_1	153
slow_cooker_chicken_tortilla_soup_9	152	slow_cooker_chicken_tortilla_soup_1	0
slow_cooker_chicken_tortilla_soup_4	8	slow_cooker_chicken_tortilla_soup_6	1
