file1	token1	file2	token2
waffles_10	1	waffles_0	0
waffles_10	5	waffles_0	4
waffles_10	7	waffles_0	0
waffles_10	9	waffles_0	0
waffles_3	1	waffles_10	0
waffles_3	6	waffles_10	1
waffles_3	18	waffles_10	5
waffles_3	27	waffles_10	5
waffles_3	34	waffles_10	0
waffles_2	1	waffles_1	4
waffles_2	10	waffles_1	8
waffles_2	23	waffles_1	8
waffles_2	27	waffles_1	8
waffles_2	37	waffles_1	8
waffles_2	45	waffles_1	8
waffles_2	49	waffles_1	19
waffles_2	57	waffles_1	0
waffles_1	1	waffles_3	0
waffles_1	4	waffles_3	1
waffles_1	8	waffles_3	27
waffles_1	19	waffles_3	0
waffles_1	21	waffles_3	0
waffles_1	26	waffles_3	0
waffles_1	48	waffles_3	27
waffles_4	1	waffles_2	23
waffles_4	3	waffles_2	27
waffles_4	6	waffles_2	0
waffles_4	17	waffles_2	10
waffles_4	25	waffles_2	0
waffles_4	31	waffles_2	27
waffles_4	34	waffles_2	10
waffles_4	37	waffles_2	37
waffles_4	47	waffles_2	57
waffles_4	54	waffles_2	0
waffles_7	1	waffles_8	35
waffles_7	17	waffles_8	49
waffles_7	20	waffles_8	0
waffles_7	22	waffles_8	43
waffles_7	31	waffles_8	43
waffles_7	39	waffles_8	60
waffles_7	42	waffles_8	75
waffles_7	50	waffles_8	81
waffles_7	53	waffles_8	0
waffles_7	54	waffles_8	49
waffles_7	57	waffles_8	54
waffles_7	60	waffles_8	60
waffles_7	66	waffles_8	81
waffles_7	73	waffles_8	0
waffles_7	76	waffles_8	134
waffles_7	80	waffles_8	93
waffles_7	86	waffles_8	109
waffles_7	91	waffles_8	182
waffles_7	94	waffles_8	0
waffles_5	6	waffles_6	0
waffles_5	10	waffles_6	37
waffles_5	19	waffles_6	0
waffles_5	34	waffles_6	37
waffles_5	42	waffles_6	0
waffles_5	48	waffles_6	41
waffles_5	58	waffles_6	45
waffles_5	68	waffles_6	0
waffles_5	70	waffles_6	41
waffles_5	82	waffles_6	0
waffles_5	86	waffles_6	87
waffles_6	1	waffles_4	0
waffles_6	37	waffles_4	1
waffles_6	41	waffles_4	1
waffles_6	45	waffles_4	1
waffles_6	55	waffles_4	37
waffles_6	81	waffles_4	0
waffles_6	87	waffles_4	47
waffles_6	97	waffles_4	0
waffles_6	103	waffles_4	0
waffles_6	100	waffles_4	0
waffles_6	108	waffles_4	54
waffles_9	1	waffles_5	10
waffles_9	3	waffles_5	22
waffles_9	6	waffles_5	0
waffles_9	17	waffles_5	34
waffles_9	25	waffles_5	0
waffles_9	31	waffles_5	0
waffles_9	34	waffles_5	34
waffles_9	37	waffles_5	22
waffles_9	47	waffles_5	86
waffles_9	54	waffles_5	0
waffles_9	64	waffles_5	22
waffles_9	74	waffles_5	86
waffles_9	76	waffles_5	0
waffles_9	88	waffles_5	0
waffles_9	94	waffles_5	0
waffles_9	110	waffles_5	0
waffles_9	112	waffles_5	0
waffles_8	23	waffles_9	6
waffles_8	35	waffles_9	17
waffles_8	43	waffles_9	3
waffles_8	46	waffles_9	1
waffles_8	49	waffles_9	3
waffles_8	54	waffles_9	0
waffles_8	60	waffles_9	17
waffles_8	64	waffles_9	0
waffles_8	81	waffles_9	17
waffles_8	93	waffles_9	0
waffles_8	98	waffles_9	0
waffles_8	109	waffles_9	47
waffles_8	134	waffles_9	37
waffles_8	182	waffles_9	0
waffles_8	187	waffles_9	0
waffles_8	193	waffles_9	0
waffles_8	217	waffles_9	0
